"","iSensor","effect","AveExpr","t","p_value","p_adj","B","neglog10_fdr","n_experiments","frac_positive","sd_delta","median_delta"
"39","AT-aux-trans-A-ARF",0.0342569065643432,1.14141044745999,13.4229545340789,1.42636733655597e-25,2.59672002296087e-25,45.6330827825617,24.5855748732579,11,0.909090909090909,0.0231188368306862,0.0328147830561609
"40","AT-aux-cistrans-IR8-ARF5-1-down",-0.0346214266355432,1.12815086692369,-12.6894796235195,7.46275686467246e-24,1.32463934347936e-23,41.6654679924084,22.8779023499971,11,0.181818181818182,0.0313017077613022,-0.0337014922032821
"41","AT-aux-cistrans-DR5-ARF6-down",-0.0255130163215783,1.10879625025133,-12.3940539904558,3.71487254688016e-23,6.27990359115455e-23,40.0570537430152,22.2020470234843,11,0.0909090909090909,0.0201620161442673,-0.0245349196290556
"42","AT-aux-cistrans-DR5-ARF8-down",-0.0255130163215783,1.10879625025133,-12.3940539904558,3.71487254688016e-23,6.27990359115455e-23,40.0570537430152,22.2020470234843,11,0.0909090909090909,0.0201620161442673,-0.0245349196290556
"43","AT-aux-cis-DR5-ARF5syn",0.00127104946313839,1.02767413388751,12.1830464274716,1.17286654208659e-22,1.93659359274763e-22,38.9052078470302,21.712961509351,11,1,0.000529239334052405,0.00116178690522961
"44","AT-aux-cistrans-IR8-TGTCNN-down",-0.0281646837349016,1.06652174028363,-11.8022343012398,9.39661460561571e-22,1.51627190226981e-21,36.8210644385823,20.8192229127758,11,0.0909090909090909,0.0211943023352134,-0.0268582008118392
"45","AT-aux-cis-IR8-ARF2",0.00335391498555851,1.01422766445887,11.3201479174581,1.32066176202302e-20,2.08371078008076e-20,34.1753147157142,19.6811625614434,11,0.909090909090909,0.00238053549772416,0.00408275168089145
"46","AT-aux-cistrans-DR5-ARF3-down",-0.033891385688521,1.17109602182538,-10.7036189430519,3.90957402770655e-19,6.03434252102533e-19,30.7863048523066,18.2193700420614,11,0.181818181818182,0.0301069615326649,-0.0326376482330462
"47","AT-aux-cistrans-DR5-ARF2-down",-0.0236812239300126,1.13953128153194,-9.99555753249167,1.9111676137865e-17,2.88708299103918e-17,26.8995474651388,16.5395407318684,11,0.272727272727273,0.0234513969390081,-0.025629253639972
"48","AT-aux-trans-Synthesis",-0.0159428861011834,0.834346153031215,-9.66711035728453,1.15499961859404e-16,1.70843693583702e-16,25.1035115621275,15.7674010478418,11,0,0.00745288175937089,-0.0219024151307624
"49","AT-aux-cistrans-DR5-ARF5syn-down",-0.0231549596187707,1.13448893854483,-9.58764853573596,1.78334801019208e-16,2.58403487191097e-16,24.6700061037052,15.5877016297728,11,0.181818181818182,0.0256306631367068,-0.019389348575874
"50","AT-aux-cistrans-DR5-TGTCNN-down",-0.0211012148678496,1.18378816258123,-9.16908125632353,1.7453175898581e-15,2.4783509775985e-15,22.394876292222,14.6058371899533,11,0.181818181818182,0.0236402211447859,-0.0207546547326229
"51","AT-aux-cistrans-IR8-ARF5-2-down",-0.0282977025989288,1.22589721025182,-8.76582612563854,1.54848573212722e-14,2.15573503884378e-14,20.2197511758194,13.6664046192921,11,0.363636363636364,0.0344910781459085,-0.0350863892037208
"52","AT-aux-cis-DR5-ARF1",0.00304350260979863,1.04795430419417,8.58661907003056,4.06140455689602e-14,5.54537929883879e-14,19.2596964386966,13.2560687431561,11,1,0.00240875258688518,0.00499378278776996
"53","AT-aux-cistrans-DR5-ARF5-1-down",-0.0195756675742873,1.15375436115181,-8.50898641038634,6.15930110600162e-14,8.25113921747387e-14,18.8452279314814,13.0834860851827,11,0.181818181818182,0.0244454068452301,-0.0226306842729782
"54","AT-aux-cis-DR5-ARF6",0.00154888280605999,1.02438063096857,7.48763267938,1.3463185052226e-11,1.737974797651e-11,13.4933065580246,10.7599565255401,11,0.818181818181818,0.00194949164272769,0.00126226657199768
"55","AT-aux-cis-DR5-ARF8",0.00154888280605999,1.02438063096857,7.48763267938,1.3463185052226e-11,1.737974797651e-11,13.4933065580246,10.7599565255401,11,0.818181818181818,0.00194949164272769,0.00126226657199768
"56","AT-aux-cistrans-IR8-ARF1-down",-0.0195330352201521,1.19308343878651,-6.84392648055345,3.57815616697179e-10,4.53659085455352e-10,10.2459935010657,9.34327038706023,11,0.181818181818182,0.0310626790216651,-0.0216140524746524
"57","AT-aux-trans-Receptors",-0.0116917219025617,1.17490280402221,-5.88860204068492,3.69487647633699e-08,4.60238999684082e-08,5.67649066606546,7.3370165829078,11,0.181818181818182,0.0182761019318199,-0.0153379116941299
"58","AT-aux-cistrans-DR5-ARF5-2-down",-0.0200067618747285,1.12221264004799,-5.54640329785369,1.79069997132618e-07,2.19206375800274e-07,4.12922104415978,6.65914681818672,11,0.363636363636364,0.0386114249769201,-0.0179289951672486
"59","random2",-0.00140261135107415,1.00144761783097,-5.44898526617903,2.78087482009052e-07,3.34647647841401e-07,3.69861905907534,6.47541222320221,11,0.181818181818182,0.00134437011638394,-0.00130967511833457
"60","AT-aux-cistrans-DR5-ARF1-down",-0.0166347172040964,1.14924637931117,-5.35889130875199,4.16222736100897e-07,4.92530237719394e-07,3.30448001648171,6.30756710187385,11,0.363636363636364,0.0363408392580979,-0.015448225266713
"61","AT-aux-cistrans-IR8-ARF3-down",-0.0114168925501771,1.20857819205218,-4.57979339562492,1.15447263823895e-05,1.34373044778632e-05,0.0744301470108848,4.87168784198146,11,0.272727272727273,0.0222407464457655,-0.02237441366157
"62","AT-aux-cis-DR5-ARF5-2",0.00142702640087354,1.03469167777402,4.35355510720235,2.852584116563e-05,3.26666890767698e-05,-0.798092254835014,4.48589488109102,11,0.909090909090909,0.00225351959239218,0.00180450551643085
"63","AT-aux-cis-IR8-TGTCNN",0.00149337338890265,1.05004791621626,3.99359393476944,0.00011311684884165,0.000127480893139003,-2.11917537455257,3.89455490249371,11,0.818181818181818,0.00205159654899478,0.00132013834015599
"64","AT-aux-cis-DR5-ARF5-1",0.000616759287643906,1.01672451814677,3.62742877884744,0.000422952529141009,0.000469212962015807,-3.3727571877114,3.32862999899857,11,0.727272727272727,0.00113207197236529,0.000121260942334667
"65","AT-aux-cis-DR5-ARF2",0.000629629614164462,1.0280205789805,3.21245020034741,0.00169357101802502,0.0018499006504581,-4.67530582810627,2.73285159490316,11,0.818181818181818,0.00110536572358092,0.000927859850870405
"66","random3",0.00112114986617373,1.0143988757725,3.14388815808464,0.00210559423363169,0.00226510894830076,-4.87782687289647,2.64491090424368,11,0.636363636363636,0.00230191639659732,0.000541868908192633
"67","random1",0.00104146782268942,1.0164407178637,1.80957440958823,0.0728876170756203,0.077239116602523,-8.0362419336049,1.11216270196726,11,0.636363636363636,0.00361269692983427,0.000735181813452668
"68","majortrend",-3.97473838050341e-05,0.999999988911431,-0.66351759030294,0.5082833810456,0.530707647856435,-9.44334144332287,0.275144653848067,11,0.454545454545455,0.000177728374022836,-9.22818935371605e-05
"69","AT-aux-cis-IR8-ARF6",-7.82410527440544e-05,1.01833369883646,-0.284744744370086,0.776334985672185,0.787425485467501,-9.62403652517171,0.103790533133815,11,0.545454545454545,0.0020219428721094,0.000302154457251902
"70","AT-aux-cis-IR8-ARF8",-7.82410527440544e-05,1.01833369883646,-0.284744744370086,0.776334985672185,0.787425485467501,-9.62403652517171,0.103790533133815,11,0.545454545454545,0.0020219428721094,0.000302154457251902
"71","AT-aux-cis-IR8-ARF1",1.11215340228295e-05,1.02069287896526,0.0324088910328635,0.974200304999696,0.974200304999696,-9.66437210948001,0.0113517387966197,11,0.363636363636364,0.00162242363357803,-0.000407620117547136
